route_id,direction_id,stop_sequence,trip_id,stop_id,departure_time,traversal_time_sec,stop_lat,stop_lon,lat_prev,lon_prev,length_m
1,1,38,10775020,18342,19395.0,17.0,40.541594,-79.799552,40.541276,-79.797705,160.02910088228214
1,1,39,10775020,12680,19426.0,31.0,40.541115,-79.802422,40.541594,-79.799552,248.29854433233157
1,1,40,10775020,18348,19448.0,22.0,40.541071,-79.805046,40.541115,-79.802422,221.78614311277394
1,1,41,10775020,18349,19470.0,22.0,40.540833,-79.807469,40.541071,-79.805046,206.45101279864826
1,1,42,10775020,12683,19487.0,17.0,40.540666,-79.809401,40.540833,-79.807469,164.3106021529703
1,1,43,10775020,12684,19509.0,22.0,40.540497,-79.811728,40.540666,-79.809401,197.53260547122244
1,1,44,10775020,12685,19523.0,14.0,40.540527,-79.813489,40.540497,-79.811728,148.84597554797375
1,1,45,10775020,12686,19548.0,25.0,40.540773,-79.816047,40.540527,-79.813489,217.88040665917566
1,1,46,10775020,12687,19572.0,24.0,40.540985,-79.818588,40.540773,-79.816047,216.00937251862536
1,1,47,10775020,12689,19680.0,108.0,40.538742,-79.830223,40.540985,-79.818588,1014.3353274934537
1,1,48,10775020,3173,19702.0,22.0,40.538296,-79.83271,40.538742,-79.830223,215.93558116530934
1,1,49,10775020,3174,19721.0,19.0,40.537945,-79.834557,40.538296,-79.83271,160.88720071847087
1,1,50,10775020,3175,19737.0,16.0,40.537572,-79.83664,40.537945,-79.834557,180.84590545747582
1,1,51,10775020,3177,19795.0,58.0,40.535428,-79.842594,40.537572,-79.83664,556.7787389036098
1,1,52,10775020,3178,19818.0,23.0,40.534012,-79.844813,40.535428,-79.842594,244.86227303871414
1,1,53,10775020,21680,19869.0,51.0,40.530595,-79.849301,40.534012,-79.844813,536.8685465540096
1,1,54,10775020,3179,19889.0,20.0,40.528983,-79.850181,40.530595,-79.849301,194.06386220706096
1,1,55,10775020,3180,19920.0,31.0,40.526393,-79.851014,40.528983,-79.850181,296.4759417146949
